Date,Price
2024-07-16,64835.48973321571
2024-07-17,65162.23625234354
2024-07-18,64136.31384360687
2024-07-19,63959.56900809379
2024-07-20,66689.54880734957
2024-07-21,67206.06470614894
2024-07-22,68088.13996324532
2024-07-23,67607.71339918874
2024-07-24,65942.41746522837
2024-07-25,65403.53513022529
2024-07-26,65749.96361965332
2024-07-27,67920.2964857025
2024-07-28,68055.40838968738
2024-07-29,68242.2474440493
2024-07-30,66770.32091848266
2024-07-31,66219.05102486102
2024-08-01,64679.778647032515
2024-08-02,65357.52960767435
2024-08-03,61407.29547397454
2024-08-04,60738.7449250574
2024-08-05,58006.206586686734
2024-08-06,53956.26184159744
2024-08-07,55959.84107399357
2024-08-08,55099.95181146735
2024-08-09,61859.03159904161
2024-08-10,60912.588533350805
2024-08-11,60887.70861641504
2024-08-12,58804.23449992608
2024-08-13,59350.07433270696
2024-08-14,60601.22317789727
2024-08-15,58739.19382231015
2024-08-16,57624.11692852191
2024-08-17,58881.92579151217
2024-08-18,59430.79163445865
2024-08-19,58438.293742685404
2024-08-20,59574.945812940874
2024-08-21,59060.12610074137
2024-08-22,61144.68762866613
2024-08-23,60387.54062321362
2024-08-24,64049.68561555576
2024-08-25,64157.1606134782
2024-08-26,64265.81631272862
2024-08-27,62922.58634676265
2024-08-28,59526.560879590994
2024-08-29,59015.29633887944
2024-08-30,59351.5794909728
2024-08-31,59156.246036463555
2024-09-01,58960.23658664587
2024-09-02,57357.71617282246
2024-09-03,59108.73235863689
2024-09-04,57504.538586220435
2024-09-05,57987.84601410068
2024-09-06,56132.404732088595
2024-09-07,53923.35611071905
2024-09-08,54150.9383589072
2024-09-09,54792.40755768575
2024-09-10,57049.118751143265
2024-09-11,57624.16178336144
2024-09-12,57381.764445000474
2024-09-13,58106.951229815284
2024-09-14,60620.62747295754
2024-09-15,60003.29940083042
2024-09-16,59214.80226801806
2024-09-17,58211.123231286256
2024-09-18,60317.0319794625
2024-09-19,61440.41208494509
2024-09-20,62966.52931910512
2024-09-21,63128.224540748255
2024-09-22,63403.402349259355
2024-09-23,63582.59956924825
2024-09-24,63327.02654450202
2024-09-25,64334.14274876097
2024-09-26,63151.89959401337
2024-09-27,65130.76884023231
2024-09-28,65791.00212541742
2024-09-29,65934.10709441357
2024-09-30,65663.68986662335
2024-10-01,63243.27532464382
2024-10-02,60872.668543725544
2024-10-03,60655.55979196848
2024-10-04,60727.86395169296
2024-10-05,62103.01047283253
2024-10-06,62091.932585194016
2024-10-07,62811.79972811266
2024-10-08,62287.39010510681
2024-10-09,62185.230423727575
2024-10-10,60597.15045618275
2024-10-11,60195.18073772453
2024-10-12,62392.34048293159
2024-10-13,63207.77062127557
2024-10-14,62829.533686088886
2024-10-15,66049.99492708022
2024-10-16,66962.21994496793
2024-10-17,67647.54414766871
2024-10-18,67328.10527002988
2024-10-19,68465.61920668735
2024-10-20,68388.87128965274
2024-10-21,68962.82918045693
2024-10-22,67394.85775735618
2024-10-23,67351.04793512498
2024-10-24,66683.96806542306
2024-10-25,68214.05205157402
2024-10-26,66585.66535501445
2024-10-27,67018.1650170265
2024-10-28,67938.55412885673
2024-10-29,69845.304531169
2024-10-30,72781.11308158132
2024-10-31,72342.62171127986
2024-11-01,70264.99735573279
2024-11-02,69507.92256395647
2024-11-03,69299.16036699413
2024-11-04,68803.50626277467
2024-11-05,67793.29782704762
2024-11-06,69335.42553133758
2024-11-07,75620.88606963192
2024-11-08,75987.24178320667
2024-11-09,76550.0213845611
2024-11-10,76630.22631415377
2024-11-11,80466.71654833542
2024-11-12,88637.42000322911
2024-11-13,88264.59974582895
2024-11-14,90488.10007497849
2024-11-15,87407.51273710128
2024-11-16,90947.97509443703
2024-11-17,90606.45489380708
2024-11-18,89841.47194135105
2024-11-19,90534.62459650292
2024-11-20,92251.65240738312
2024-11-21,94217.02229634205
2024-11-22,98509.11859102432
2024-11-23,98927.49494553401
2024-11-24,97679.46381643033
2024-11-25,98015.9355289458
2024-11-26,93004.70093103287
2024-11-27,91931.83077291827
2024-11-28,95981.18057210564
2024-11-29,95661.59595817851
2024-11-30,97453.2473451042
2024-12-01,96513.14234698225
2024-12-02,97311.70719084324
2024-12-03,95833.1362300365
2024-12-04,96031.63097759831
2024-12-05,98881.4694561823
2024-12-06,97201.50036407741
2024-12-07,99973.85150659826
